,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,https://servicodados.ibge.gov.br/api/docs/localidades?utm_source=,,,,,,,,,,,,,,,,,,
"nov. 17, 2022",In Progress,FLO050221B,Bruna,Gonçalves,Povo indígena xokleng reivindica terra na Floresta Nacional de São Francisco de Paula,Pioneiro,"fev. 5, 2021",Sul ; Rio Grande do Sul ; São Francisco de Paula; 4318200,,Ocupação de espaço público ou privado,Ocupação de Floresta Nacional (Acampamento),,Mata Atlântica,undefined,Movimento Indígena,,Outros,Povo Xokleng,,NI,,NI,,15; Vida Terrestre,Retomada; Reintegração de posse; Território ancestral,
"nov. 17, 2022",In Progress,FLO050221A,Bruna,Gonçalves,"Em Santarém, indígenas denunciam desmatamento em território Munduruku para plantio de soja",G1,"fev. 5, 2021",Norte ; Pará ; Santarém; 1506807,,Ação/Prática comunicativa,Vídeo de denúncia,,Amazônia,Data inicial: 04/02/2021 Data final: 04/02/2021,Movimento Indígena,,Povo Munduruku,Cacique Manoel Munduruku,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Agronegócio; Aldeia Açaizal; Reconhecimento identitário e territorial ,
"nov. 17, 2022",In Progress,FLO220221A,Bruna,Gonçalves,PARAUAPEBAS: Primeira mulher eleita cacique Xikrin toma posse,Folha do Bico,"fev. 22, 2021",Norte ; Pará ; Parauapebas; 1505536,,Festividades e Ritual,Cerimônia festiva,,Amazônia,,Movimento Indígena,,Outros,Kôkôti Xikrin (Cacica); Povo Xicrin; Povo Kayapó,,Estado,,Outros,Representantes do legislativo e do executivo municipal (Não especificado),"5; Igualdade de Gênero
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Mulher indígena; Linhagem de caciques; Cosmopolítica ,
"nov. 16, 2022",In Progress,FLO040721B,Paulo Vitor,Luna Torres,"30J: Com bloqueios de rodovias e barricadas, povos indígenas por todo país lutam por seus territórios (2)",A Nova Democracia,"jul. 4, 2021",Sudeste ; São Paulo ; Campinas; 3509502,,Ocupação,ocupação de via pública/bloqueio de pista,,Mata Atlântica,undefined,Movimento Indígena,,Outros,N.I.,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Direitos constitucionais; Marco temporal; Demarcação indígena; SP-332.,
"nov. 16, 2022",In Progress,FLO040721A,Paulo Vitor,Luna Torres,"30J: Com bloqueios de rodovias e barricadas, povos indígenas por todo país lutam por seus territórios (1)",A Nova Democracia,"jul. 4, 2021",Sudeste ; Rio de Janeiro ; Rio de Janeiro; 3304557,,Ocupação,ocupação de via pública/bloqueio de pista,,Mata Atlântica,undefined,Movimento Indígena,,Outros,Indígenas da Aldeia Maracanã,,Estado,,Outros,Tribunal Regional Federal 2ª regional (TRF 2),"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Direitos constitucionais; Marco temporal; Demarcação indígena. ,
"nov. 16, 2022",In Progress,FLO240621E,Paulo Vitor,Luna Torres,"Em carta ao STF, artistas, juristas e acadêmicos manifestam-se contra marco temporal e pedem proteção a direitos indígenas (2)",Conselho indigenista missionário,"jun. 24, 2021",Centro-oeste ; Distrito Federal ; Brasília; 5300108,,Ação/Prática Comunicativa ,Carta pública de denúncia ,,Cerrado,undefined,Outros,Movimento de artistas; Movimentos da Sociedade Civil; Movimento de Juristas; Movimento de acadêmicos.,Outros,"Celso Antônio Bandeira de Melo, jurista; Dalmo de Abreu Dallari, jurista; Fábio Konder Comparato, jurista; Fernanda Frizzo Bragato – professora de direito da Unisinos; Kenarik Boujikian, desembargadora aposentada TJSP; Roque Paloschi, arcebispo metropolitano de Porto Velho e presidente do Cimi; Adriana Varejão, artista visual; Álamo Facó, ator e autor; Alinne Moraes, atriz; Ana Catarina Mousinho, artista; Ana Teixeira, artista; Andréa Beltrão, atriz e produtora; Antonio Calloni, ator e escritor; Antônio Eduardo Cerqueira de Oliveira, secretário executivo Cimi; Antonio Grassi, ator; Antonio Pitanga, ator e diretor; Aracy Amaral, historiadora de arte; Aramis Trindade, ator; Arnaldo Antunes, músico; Astrid Fontenelle, jornalista atriz e cineasta; Barbara Gancia, jornalista; Bárbara Paz, atriz; Bela Gil, chef e apresentadora; Bete Mendes, Movimento de Direitos Humanos ( MHUD); Bruna Lombardi, atriz e escritora; Bruno Gagliasso, ator; Bruno Garcia, ator; Cacinho, chargista e cineasta de animação; Caio Blat, ator; Camila Pitanga Manhães Sampaio, atriz; Cao Guimarães, cineasta; Carlos Império Hamburger (Cao Hamburger), ator e cineasta; Carla Camurati, atriz e cineasta; Carlos Alberto Libânio Christo (Frei Betto), escritor; Carlos Alberto Riccelli, ator e diretor; Carlos Diegues (Cacá Diegues), cineasta; Carol Solberg, jogadora de vôlei de praia; Carolina Dieckmann, atriz; Cássio Scapin, ator, diretor e produtor; Catarina Abdalla, atriz; Chico Buarque, cantor e compositor; Christiana kalache, atriz; Clara Arreguy, jornalista e escritora; Cláudia Abreu, atriz; Cláudia Assunção, atriz; Claudia Priscilla, cineasta; Clóvis Lima, cartunista; Criolo, cantor e ator; Cristina Pereira, MHuD; Cristóvão Villela, cartunista; Dadá Coelho, atriz;  Dandara Mariana, atriz e cantora; Daniel Dantas, ator e diretor; Daniel Satti, ator; Daniela Mercury, cantora; Daniela Thomas, cineasta; Denise Fraga, atriz; Dira Paes, atriz e MHuD- Movimento Humanos Direitos; Edouard Fraipont, fotógrafo e artista; Eduardo Escorel, cineasta; Eliane Brum, jornalista e escritora; Eliane Giardini, atriz; Eric Nepomuceno, escritor; Erica Collares, atriz; Ernesto Neto, artista visual; Ernesto Picollo, ator; Evandro Mesquita, músico e ator; Fabio Assunção, ator; Fabio Porchat de Assis, ator e roteirista; Fafá de Belém, cantora; Fernanda Nobre, atriz; Fernando Fraha, cineasta; Fernando Morais, jornalista e escritor; Gabriela Duarte, atriz; Generosa de Oliveira Silva, MHuD; Geórgia Kyriakakis, artista e professora; Gilberto Hernandez, ator; Gilberto Rodrigues de Miranda, MHuD – Movimento Humanos Direitos; Giovanna Ewbank, atriz e apresentadora; Gisela Motta, artista e professora; Giuseppe Oristanio, ator; Gregorio Duvivier, ator e humorista; Gustavo Pizzi, diretor e roteirista; Guto Carvalho Neto, estilista; Herson Capri, ator; Isabel Fillardis, atriz e cantora;  Isabella Guimarães, artista e antropóloga; Jacques Cheuiche, diretor; Joana Amador, artista e designer gráfica; João Jardim, cineasta; Jorge Durán, roteirista e diretor; José Celso Martinez Correa, ator, diretor e dramaturgo; Juca Kfouri, jornalista; Julia Lemmertz, atriz e sociedade civil; Júlia Rebouças, curadora e pesquisadora de arte; Juliana Alves, atriz; Juliano Dornelles, cineasta; Kim Riccelli, diretor; Laerte Coutinho, cartunista; Laila Zaid, atriz; Lan Lanh, musicista; Laura Lima, artista visual; Leandra Leal, atriz; Léo Fuchs, produtor e empresário; Leonardo Boff, ecoteólogo da libertação; Leonardo Vieira, ator e MHuD – Movimento Humanos Direitos; Letícia Colin, atriz; Leticia Isnard, atriz; Leticia Sabatella, atriz, diretora e cantora; Leticia Spiller, atriz; Lilia Moritz Schwarcz, antropóloga, historiadora e escritora; Lisette Lagnado, curadora, critica e pesquisadora de arte; Livia Aquino, artista e professora; Luana Xavier, atriz; Lucia Koch, professora e artista visual; Luciana Sérvulo da Cunha, documentarista e ong respeito em cena; Maeve Jinkings, atriz; Maianí jana Hussak van Velthem Campbell, jornalista; Maite Proença Gallo, atriz; Malu Verçosa Mercury, jornalista; Mani Ceiba, artista plástica; Marcello Escorel, ator; Marcia Xavier, artista visual; Marcius Galan, artista visual; Marcos Palmeira de Paula, ator; Marcos Venceslau, artista plástico, cartunista e quadrinhista; Maria Augusta Ramos, documentarista; Maria Carolina Ferraz, atriz; Maria Eduarda Angelina Andrade, atriz; Maria Gadú, cantora; Maria Paula Fernandes, jornalista – Uma gota no Oceano; Maria Ribeiro, atriz; Mariana Lacerda, cineasta; Mariana Ximenes, atriz; Marieta Severo, atriz; Marina Person, cineasta; Marisa Monte, cantora; Mariza Leão, produtora; Marli Spini, jornalista; Marta Sobral, medalhista olímpica de basquetebol; Martha Vianna, ceramista; Miguel Paiva, cartunista; Miguel Przewodowski, diretor; Milton Leite, jornalista; Miriam hauch, jornalista; Moara Passou, cineasta; Monica Torres, atriz; Monique Gardenberg, cineasta; Nanda Costa, atriz; Neide Jallageas, artista e editora; Néle Azevedo, artista; Otavio Mulller, ator; Patrícia Leite, artista visual; Patricia Pillar, atriz; Patrycia Travassos, atriz; Paula Barreto, produtora cinema e TV; Paulo Betti, ator; Paulo Miklos, ator e músico; Paulo Portella, artista, educador e museólogo; Peter Pál Pelbart, editor e filósofo; Petra Costa, cineasta; Priscila Cattoni, MHuD – Movimento Humanos Direitos; Rafaela Ferreira, atriz; Regina Zappa, jornalista; Renato Aroeira, cartunista e músico; Ricardo Kosovski, ator e professor; Ricardo Petraglia, ator e agricultor canábico; Ricardo Rezende Figueira, movimento Humanos Direitos, MHuD; Rivane Neuenschwander, artista visual; Rosana Mariz, atriz; Ruy Guerra, cineasta; Sergio Cardoso, jornalista; Silvio Tendler, cineasta; Sura Berditchevsky, atriz; Tainá Müller, atriz; Tata Amaral, cineasta; Tayná Tanaka, cineasta; Teresa Cristina, cantora e compositora; Thaila Ayala, atriz; Thelma Guedes, escritora; Tizuka Yamasaki, cineasta; Vera Mossa, atleta olímpica de vôlei; Walter Casagrande, esportista; Xuxa Meneghel, apresentadora e empresaria; Zelia Duncan, cantora e compositora; Zepa Ferrer, cartunista; Zeze Polessa, atriz; Adair Rocha, PUC-Rio/UERJ; Adriane Kusler, advogada; Alcides José de Carvalho Carneiro, estatístico; Alessandra Quines Cruz, Defensora Pública do RS; Aloysio Damazio; Ana Elsa Munarini, advogada; Ana Kelly Jansen de Amorim, advogada; Ana Luiza Rocha Cordeiro, arquiteta; Ana Vilacy Galucio – Linguista; Ana Virgínia Porto de Freitas, advogada; André Luís Tavares Pinheiro; André Motta Lima, programa tome ciência; Antonio Maués, professor do ICJ/UFPA; Ariane, rede; Bethania Assy, professora da PUCRJ e UERJ; Breno Perez Coêlho, advogado; Bruna Franchetto, professora Museu Nacional/UFRJ; Bruna Medeiros Bolzani, advogada; Bruno Boti Bernardi, professor da UFGD; Camila Machado Nunes, bigbonsai; Carla Vasconcelos, pastoral indigenista; Carlos Alberto Marques Júnior, advogado; Carlos David Sion; Carlos Eduardo Pereira Tamasauskas, geógrafo; Carlos Frederico Marés de Souza Filho, jurista; Caroline Barbosa Contente Nogueira, professora do PPGDIR/Ufam; Christina Tavares, Fundação Oswaldo Cruz; Clarisse Luz; Claudio Santos da Silva, advogado; Daniel Cerqueira, Due Process of Law Foundation; Deyse Cristina Valença Guedws, UFRN; Diogo Bueno Kanoute, UNIRIO; Edmundo Roberto Buongermino Lipe, Cia Limite 151; Eduardo Lins, UFRRJ; Egon Dionísio Heck, indigenista; Elaine Soares de Azevedo e Silva, candeias; Eleonora Menezes, psicóloga; Elias Menta Macedo, advogado; Elisa Facó, Projeto Mata Ativa; Elisa Torelly, advogada; Fabio Dhein, advogado; Fernando Antonio de Carvalho Dantas, professor da UFG; Flávia da Costa Frediani, socióloga; Flavia Luzia de Paula Bon Cardoso; Flávio Vicente Machado, indigenista; Francis Campos Bordas, advogado; Francisco Barbosa; Gilberto de Souza Marques, professor da UFPA; Gioconda Bretas, jornalista; Glauce Guimarães Dias; Gomercindo Clovis Garcia Rodrigues, advogado; Hein van der Voort, Museu Paraense Emílio Goeldi; Helaísse Magarinos, médica; Henrique Analdo Antunes de Oliveira, advogado; Iara Tatiana Bonin, doutora em educação pela UFRGS; Irene Gabardo; Isabela Verleun, Museu Imperial/Ibram/SEC/Ministério do Turismo; Jaxuka Miri, mbya guarani; Jeniffer da Silva Lehr, advogada; João Alfredo Telles Melo, advogado e professor; João Luiz Arzeno da Silva, advogado; José Guilherme Carvalho Zagallo, advogado; Josilma Saraiva, Advogada; Juliana Neuenschwander Magalhães, professora da FND/UFRJ; Kátia Maria Netto Ratto, médica; Kerison Lopes, jornalista; Laercio Pires, professor; Lara Lorena Ferreira; Laymert Garcia dos Santos, professor; Letícia Ferreira Haines, UDESC; Lidia Farias de Oliveira, indigenista; Ligia Mangeon; Lourdes de Fátima Gonçalves Furtado, antropóloga; Lucia Helena, Humanitária; Luciana Guimarães, fundadora do “Sou da Paz”; Luciana Raccanello Storto, professora USP; Luiz Felipe; Marcelo Chalreo, advogado; Marcelo Trindade de Almeida, advogado; Márcia Miranda, ativista de direitos humanos; Márcio Augusto Freitas de Meira, antropólogo; Marcio Black, Fundação Tide Setubal; Marcos Pereira Magalhães, arqueólogo; Maria Augusta Coelho Novais; Maria Candida Drumond Mendes Barros, pesquisadora; Maria de Jesus Rodrigues Lima, antropóloga; Maria do Carmo Facó Soares; Maria Maurity Nunes; Marta Wurmli; Matheus de Carvalho Hernandez, professor da UFGD; Matias Benno Rempel, indigenista; Mauro Borges Loch, advogado; Michel Sednaoui, Plexo Solar; Michele Milanez Schneider Arcieri, advogado; Moacir dos Anjos, curador; Octavio de Souza Dantas, pv Petrópolis, RJ; Pedro Bigolin Neto, advogado; Regina C de A. Bodstein, socióloga; Renata Ponce de León Tavares; Roberto Antonio Liebgott, filósofo e bacharel em direito; Rosanna Iozzi da Silva, médica; Ruben Cortez Gabira; Samara Lazarini; Silvia Maria da Silveira Loureiro, professora da UEA; Silvio Guido Fioravanti Jardim, procurador do Estado RS; Stella Senra, professora; Sydia Trindade Douglas, UFRR; Teresinha de Jesus Fidelles de Almeida, jornalista e educadora ambiental; Thaís Gregorio; Tiago Gornicki Schneider, advogado; Vera Antoun, pv Petrópolis; Victor Damazio; Vitória Helen Araújo do Nascimento, IFCE; Yolane Cruz, professora.",,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Luta pela terra; Mobilização indígena.,
"nov. 16, 2022",In Progress,FLO060221A,Bruna,Gonçalves,Barcos transportam vacinas até aldeias indígenas isoladas no AM,G1,"fev. 6, 2021",Norte ; Amazonas ; Autazes; 1300300,Ação paraestatal ; Barreira Sanitária,,,,Amazônia,,Movimento Indígena,,Outros,Povo Mura,,NI,,NI,,"3; Saúde e Bem-Estar
15; Vida Terrestre",Covid-19; Saúde indígena; Segurança indígena,
"nov. 16, 2022",In Progress,FLO230221B,Bruna,Gonçalves,Procurador da República visita Aldeia São Pedro para investigar assassinato de jovem liderança Tembé,Jornal Folha do Progresso,"fev. 23, 2021",Norte ; Pará ; Nova Esperança do Piriá; 1504950,Encontro ; Reunião de reivindicação de correção entre os poderes,,,,Amazônia,Data inicial: 06/02/2021 Data final: 06/02/2021,Movimento Indígena,,Outros,Povo Tembé Tenetehara,,Estado,,"Fundação Nacional do índio (FUNAI)
Ministério Público Federal (MPF)",,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Audiência Pública; Terra Indígena Alto Rio Guamá;  Zona de amortecimento,
"nov. 16, 2022",In Progress,FLO250221I,Bruna,Gonçalves,Indígenas de aldeia na Zona Sul de SP mantêm distanciamento social após tomarem vacina contra a Covid-19,G1,"fev. 25, 2021",Sudeste ; São Paulo ; São Paulo; 3550308,Ação/prática comunicativa ; Entrevista concedida,,,,Mata Atlântica,,Movimento Indígena,,Outros,"Vera Popygua (Liderança do povo Guarani, da aldeia Tenondé Porã)",,NI,,NI,,"3; Saúde e Bem-Estar
11; Cidades e Comunidades Sustentáveis",Parelheiros; Isolamento social; Orientação sanitária,
"nov. 16, 2022",In Progress,FLO070321B,Bruna,Gonçalves,Pandemia faz indígenas Xavante passarem fome,Projeto Colabora,"mar. 7, 2021",Centro-oeste ; Mato Grosso ; Barra do Garças; 5101803,,Arrecadação de recursos ou execução de serviços ,Arrecadação de alimentos,,Cerrado,,"Outros
Movimento Indígena",Movimento Popular,Outros,SOS Xavante; Movimento de Luta Pela Terra Nacional (MLT); Cacica Heroína Rewanhiré (Aldeia Paranoá); ,,NI,,NI,,"1; Erradicação da Pobreza
2; Fome Zero e Agricultura Sustentável
3; Saúde e Bem-Estar
11; Cidades e Comunidades Sustentáveis",Covid-19; Saúde indígena; Vulnerabilidade,
"nov. 16, 2022",In Progress,FLO250221H,Bruna,Gonçalves,Quase metade da população indígena no Xingu já foi vacinada contra covid-19,PNB Online,"fev. 25, 2021",Nacional,Não categorizado,Evento,Live,sim,,,Movimento Indígena,,"Outros
Articulação dos Povos Indígenas do Brasil (APIB)",ônia Guajajara; Célia Xakriabá; Puyr Tembé; Shirley Krenak; Elisangela Baré; Giandria Kaba Munduruku,,NI,,NI,,"3; Saúde e Bem-Estar
15; Vida Terrestre",VacinaParente; Covid-19; Comunicação indígena,
"nov. 16, 2022",In Progress,FLO011121A,Bruna,Gonçalves,Indígenas Kadiwéu participam de oficina de produção de mudas nativas do Pantanal e Cerrado,A Crítica,"nov. 1, 2021",Centro-oeste ; Mato Grosso do Sul ; Porto Murtinho; 5006903,,Arrecadação de recursos ou execução de serviços ,Oficina de produção de mudas,,Cerrado; Pantanal,Data inicial: 30/10/2021 Data final: 31/10/2021,Movimento Indígena,,Outros,Associação dos Brigadistas Indígenas da Nação Kadiwéu (Abink); Mulheres em Ação no Pantanal (Mupan),,ONG,,Outros,Wetlands International Brasil,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre",Terra Indígena Kadiwéu; Recuperação de área degradada; Queimadas,
"nov. 16, 2022",In Progress,FLO021121A,Bruna,Gonçalves,Movimentos populares do interior e litoral de SP fazem ato contra invasões dos seus territórios,Brasil de Fato,"nov. 2, 2021",Sudeste ; São Paulo ; Tremembé; 3554805,,Ocupação de espaço público ou privado,Ocupação de espaço público,,Mata Atlântica,Data inicial: 02/11/2021 Data final: 02/11/2021,"Movimento Camponês
Movimento Indígena
Movimento Quilombola",,Outros,Movimento dos trabalhadores rurais sem Terra (MST); Quilombo Coração Valente; Quilombo da Caçandoca; Povo Guarani Mbya (Aldeia Boa Vista) ,,NI,,NI,,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Desmatamento; Reserva ambiental; Ameaças ,
"nov. 16, 2022",In Progress,FLO080221C,Bruna,Gonçalves,"Incentivado pelo 'senador da cueca', garimpo ilegal emporcalha cachoeiras em terra indígena de RR",Folha de São Paulo,"fev. 8, 2021",Norte ; Roraima ; Uiramutã; 1400704,Ação/prática comunicativa ; Entrevista concedida,,,,Amazônia,undefined,Movimento Indígena,,Outros,Conselho Indígena de Roraima (CIR) ,,NI,,NI,,"11; Cidades e Comunidades Sustentáveis
14; Vida na Água
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Invasão Garimpeira; Bolsonaro; Crime ambiental,
"nov. 16, 2022",In Progress,FLO120221C,Bruna,Gonçalves,"Missionários espalham medo da vacina contra Covid-19 em aldeias, dizem lideranças indígenas (2)",O Globo,"fev. 12, 2021",Norte ; Amazonas ; Boca do Acre; 1300706,,,,,Amazônia,,Movimento Indígena,,Outros,"Claudemir da Silva, liderança apurinã; Dinamam Tuxá (APIB)",,NI,,NI,,"3; Saúde e Bem-Estar
15; Vida Terrestre",Fake News; Imunização; Anti-vacina,
"nov. 16, 2022",In Progress,FLO120221B,Bruna,Gonçalves,"Missionários espalham medo da vacina contra Covid-19 em aldeias, dizem lideranças indígenas",O Globo,"fev. 12, 2021",Norte ; Amazonas ; Boca do Acre; 1300706,Ação paraestatal ; Vigilância,,,,Amazônia,,Movimento Indígena,,Outros,Povo Jumamadi,,Igreja/Movimento Religioso,,Outros,Missionários evangélicos,16; Paz Justiça e Instituições Eficazes,Fake News; Imunização; Anti-vacina,
"nov. 16, 2022",In Progress,FLO100221E,Bruna,Gonçalves,Audiência Pública reafirma direitos territoriais Guarani sobre tekoha em Paraty e denuncia desassistência (2),CIMI,"fev. 10, 2021",Sudeste ; Rio de Janeiro ; Paraty; 3303807,Encontro ; Reunião de reivindicação de correção entre os poderes,,,,Mata Atlântica,Data inicial: 27/01/2021 Data final: 29/01/2021,Movimento Indígena,,Outros,Povo Guarani Nhandeva; Povo Guarani Mbya ,,Estado,,Ministério Público Federal (MPF),,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Demarcação; Racismo; Desmatamento,
"nov. 16, 2022",In Progress,FLO100221D,Bruna,Gonçalves,Audiência Pública reafirma direitos territoriais Guarani sobre tekoha em Paraty e denuncia desassistência,CIMI,"fev. 10, 2021",Sudeste ; Rio de Janeiro ; Paraty; 3303807,Judicialização ; Ação Civil Pública,,,,Mata Atlântica,,Movimento Indígena,,NI,Povo Guarani Nhandeva; Povo Guarani Mbya ,,Estado,,"Fundação Nacional do índio (FUNAI)
Ministério Público Federal (MPF)",,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Demarcação; Racismo; Desmatamento,
"nov. 16, 2022",In Progress,FLO100221C,Bruna,Gonçalves,"Sem abastecimento, indígenas do Oeste do Paraná são obrigados a beber água de córrego",Brasil de Fato,"fev. 10, 2021",Sul ; Paraná ; Terra Roxa; 4127403,Ação/prática comunicativa ; Entrevista concedida,,,,Mata Atlântica,Data inicial: 10/02/2021 Data final: 10/02/2021,Movimento Indígena,,Outros,Cacique Leocinio Gonçalves Ava Tupã Mirim,,NI,,NI,,"11; Cidades e Comunidades Sustentáveis
14; Vida na Água
15; Vida Terrestre",Intoxicação; Agrotóxico; Demarcação,
"nov. 11, 2022",In Progress,FLO120221A,Bruna,Gonçalves,Os Yanomamis correm risco de extermínio,Istoé,"fev. 12, 2021",Estadual ; Roraima,Ação/prática comunicativa ; Entrevista concedida,,,sim,Amazônia,,Movimento Indígena,,Outros,Povo Yanomami (Davi Kopenawa); Observatório de Direitos Humanos dos Povos Indígenas Isolados ,,Estado,,Outros,Fiocruz (Fundação Oswaldo Cruz),"3; Saúde e Bem-Estar
10; Redução das Desigualdades
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Genocídio; Devastação florestal; Desterritorialização,
